,time,agricultural_land_%_of_land_area,access_to_electricity_%_of_population,adults_ages_15-49_newly_infected_with_hiv,agriculture_forestry_and_fishing_value_added_annual_%_growth,access_to_electricity_urban_%_of_urban_population,urban_population_%_of_total_population,urban_population_growth_annual_%,urban_population,rural_population,rural_population_%_of_total_population,rural_population_growth_annual_%,population_growth_annual_%,gdp_growth_annual_%,gdp_current_US$,unemployment_rate_%,annual_unemp_change_%
33,1993-12-31,47.1588712794743,10.9,180000.0,-3.27195537868386,42.5,17.645,4.67395998078956,4480388.0,20911442.0,82.355,2.57459783688215,2.94184248128658,0.353197256227247,5751786609.50323,3.256,-0.03
34,1994-12-31,47.8476297571775,3.47343683242798,170000.0,3.07741459618993,39.2203407287598,17.952,4.60491054512765,4691530.0,21442214.0,82.048,2.50651225147274,2.87998841109113,2.632784517837,7148148564.04239,3.21,-0.05
35,1995-12-31,47.8230312401167,5.42734336853027,150000.0,4.79235836426935,41.0309638977051,18.263,4.52693314684529,4908793.0,21969554.0,81.737,2.42959899842942,2.8093665377808,4.40621652482287,9046320196.77295,3.171,-0.04
36,1996-12-31,46.4753839125698,7.37853050231934,120000.0,4.47122196549093,42.8289489746094,18.579,4.42194727064454,5130728.0,22485008.0,81.421,2.31911902345448,2.70647369514666,4.14683926876013,12045865466.4343,3.156,-0.01
37,1997-12-31,46.7266401939769,9.32631778717041,110000.0,-3.06518090480648,44.6111373901367,18.898,4.37684665211023,5360279.0,23003985.0,81.102,2.28186857754259,2.67442877916419,0.474901921293579,13115764432.7232,3.184,0.03
38,1998-12-31,46.4876831711003,14.5,94000.0,8.2895026941119,47.5,19.222,4.38909190679726,5600786.0,23536587.0,80.778,2.28886422739435,2.68916027366031,3.29021372249065,14093998843.7334,3.131,-0.05
39,1999-12-31,47.2221246090593,13.2088918685913,85000.0,7.09237537876908,48.1171684265137,19.55,4.49325422136152,5858183.0,24106946.0,80.45,2.3943910673331,2.80126932153904,2.30538859522412,12896010520.4958,3.125,-0.01
40,2000-12-31,46.8619320378114,15.1756944656372,77000.0,-1.2772016259421,49.8733978271484,19.892,4.6496699104578,6137001.0,24714605.0,80.108,2.48943496961009,2.91544684198394,0.599695390807426,12705350153.4012,3.128,0.0
41,2001-12-31,47.1571142425414,17.0481357574463,72000.0,11.658066712423,51.5815010070801,20.239,4.75820744129826,6436071.0,25364272.0,79.761,2.59472052067152,3.02882685482353,3.77990649795343,12986007425.8781,3.07,-0.06
42,2002-12-31,47.1202164669501,18.9120292663574,69000.0,-3.49636074457098,53.2875328063965,20.591,4.75787616026489,6749693.0,26030130.0,79.409,2.59131435905464,3.03360977756994,0.546859530175595,13147736954.17,3.09,0.02
43,2003-12-31,47.2186105351934,16.0,64000.0,2.43043145259773,50.2,20.948,4.68636153255088,7073537.0,26693585.0,79.052,2.51685611349183,2.96744335273422,2.93247554570904,14904517649.8476,3.042,-0.05
