time,forest_area_%_of_land_area,urban_population_%_of_total_population,urban_population_growth_annual_%,urban_population,urban_land_area_sq_km,rural_population,rural_population_%_of_total_population,Kenya [KEN] - Rural population growth (annual %) [SP.RUR.TOTL.ZG],population_density_people_per_sq_km_of_land_area,population_growth_annual_%,unemployment_total_%_of_total_labor_force,gdp_growth_annual_%,gdp_current_US$,current_health_expenditure_%_of_gdp,domestic_general_government_health_expenditure_%_of_current_health_expenditure,domestic_general_government_health_expenditure_%_of_gdp,proportion_of_population_pushed_below_the_$2.15_$_2017_PPP_poverty_line_by_out_of_pocket_health_care_expenditure_%
1960,..,7.362,..,570661,..,7180774,92.638,..,..,..,..,..,791265458.813328,..,..,..,..
1961,..,7.565,6.46796851804438,608791,..,7438679,92.435,3.52861026239367,14.1397020065362,3.74797688027386,..,-7.77463490371655,792959472.134266,..,..,..,..
1962,..,7.774,6.57819145208457,650185,..,7713393,92.226,3.62648892733818,14.6951154373265,3.85285696473711,..,9.45735874072126,868111400.008864,..,..,..,..
1963,..,8.038,7.25096775695646,699081,..,7998119,91.962,3.62482204432135,15.2813016129599,3.91148088133147,..,8.77834021621184,926589348.567393,..,..,..,..
1964,..,8.318,7.37167699069845,752562,..,8294825,91.682,3.6425437339829,15.8965931053871,3.94748519609761,..,4.96446728844091,998759333.637333,..,..,..,..
1965,..,8.605,7.39841018824713,810351,..,8606856,91.395,3.69272685857893,16.5463805039182,4.00625610693713,..,2.00909417103099,997919319.974061,..,..,..,..
1966,..,8.902,7.40418610494917,872628,..,8929977,91.098,3.68547243379473,17.2235390237903,4.01096188710426,..,14.7285664015687,1164519673.19064,..,..,..,..
1967,..,9.209,7.37490574084939,939416,..,9261652,90.791,3.6468615177069,17.9236532311909,3.98442540111434,..,3.36123203258556,1232559505.9162,..,..,..,..
1968,..,9.525,7.34091176897815,1010972,..,9602905,90.475,3.61832223907968,18.6489738904312,3.96698751791952,..,7.9826899693479,1353295457.51798,..,..,..,..
1969,..,9.85,7.28736029200716,1087396,..,9952155,90.15,3.572345376933,19.3968988298134,3.93220738615401,..,7.9592244594956,1458379415.39403,..,..,..,..
1970,..,10.295,8.2706079458228,1181154,..,10291933,89.705,3.35712738533172,20.1586375935622,3.85196620772254,..,-4.65544691647621,1603447357.24209,..,..,..,..
