Macrotrends Data Download

Kenya GDP 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,0.7912654588133,102.0799
1961-12-31,0.7929594721343,98.5353,-7.7746
1962-12-31,0.8681114000089,103.7967,9.4574
1963-12-31,0.9265893485674,106.5388,8.7783
1964-12-31,0.9987593336373,110.392,4.9645
1965-12-31,0.9979193199741,105.9677,2.0091
1966-12-31,1.1645196731906,118.797,14.7286
1967-12-31,1.2325595059162,120.8265,3.3612
1968-12-31,1.353295457518,127.5025,7.9827
1969-12-31,1.458379415394,132.105,7.9592
1970-12-31,1.6034473572421,139.7573,-4.6554
1971-12-31,1.7783912892005,149.464,22.1739
1972-12-31,2.1072791573834,171.0051,17.0824
1973-12-31,2.5090014441602,196.624,5.8966
1974-12-31,2.9699588124323,224.9296,4.0656
1975-12-31,3.2593449357536,238.7465,0.8822
1976-12-31,3.474542392046,246.3818,2.154
1977-12-31,4.494378855322,308.3126,9.4538
1978-12-31,5.3037348825116,351.5335,6.9125
1979-12-31,6.2343909752987,399.1131,7.6152
1980-12-31,7.2653153316227,448.833,5.592
1981-12-31,6.8544914539147,408.3467,3.7735
1982-12-31,6.4315793573027,369.3871,1.5065
1983-12-31,5.9791984638227,330.9008,1.3091
1984-12-31,6.1914370704347,330.1541,1.7552
1985-12-31,6.1350343383043,315.3909,4.3006
1986-12-31,7.2391267169322,359.068,7.1776
1987-12-31,7.9708205307669,381.706,5.9371
1988-12-31,8.3553808791296,386.3559,6.2032
1989-12-31,8.2831146483812,369.9834,4.6903
1990-12-31,8.5723591628688,370.1001,4.1921
1991-12-31,8.1514888819683,340.8065,1.4383
1992-12-31,8.2091206781134,332.9499,-0.7995
1993-12-31,5.7517866095032,226.5212,0.3532
1994-12-31,7.1481485640424,273.5218,2.6328
1995-12-31,9.046320196773,336.5653,4.4062
1996-12-31,12.045865466434,436.1957,4.1468
1997-12-31,13.115764432723,462.4045,0.4749
1998-12-31,14.093998843733,483.7086,3.2902
1999-12-31,12.896010520496,430.3673,2.3054
2000-12-31,12.705350153401,411.8214,0.5997
2001-12-31,12.986007425878,408.3606,3.7799
2002-12-31,13.14773695417,401.0924,0.5469
2003-12-31,14.904517649848,441.3914,2.9325
2004-12-31,16.095337093837,462.6182,5.1043
2005-12-31,18.73789540078,522.7768,5.9067
2006-12-31,25.825512277891,699.3997,6.4725
2007-12-31,31.958195182241,840.1916,6.8507
2008-12-31,35.89515332785,915.9989,0.2323
2009-12-31,42.347217912918,1049.1218,3.3069
2010-12-31,45.405615233069,1093.6396,8.0585
2011-12-31,46.869473165891,1099.3155,5.1211
2012-12-31,56.396704833468,1289.7808,4.5687
2013-12-31,61.671440480689,1376.8292,3.7978
2014-12-31,68.285796662653,1489.9197,5.0201
2015-12-31,70.120446663626,1496.6536,4.9677
2016-12-31,74.815143796398,1562.0766,4.2135
2017-12-31,82.036511258832,1675.9884,3.838
2018-12-31,92.202979940671,1845.7834,5.6479
2019-12-31,100.37843582418,1970.0801,5.1142
2020-12-31,100.65750560065,1936.2508,-0.2728
2021-12-31,109.70365931287,2069.6611,7.5905
2022-12-31,113.42000817879,2099.3019,4.8466
