Macrotrends Data Download

Kenya Unemployment Rate 1991-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,3.276
1992-12-31,3.288,0.01
1993-12-31,3.256,-0.03
1994-12-31,3.21,-0.05
1995-12-31,3.171,-0.04
1996-12-31,3.156,-0.01
1997-12-31,3.184,0.03
1998-12-31,3.131,-0.05
1999-12-31,3.125,-0.01
2000-12-31,3.128,0
2001-12-31,3.07,-0.06
2002-12-31,3.09,0.02
2003-12-31,3.042,-0.05
2004-12-31,2.997,-0.04
2005-12-31,2.968,-0.03
2006-12-31,2.942,-0.03
2007-12-31,2.919,-0.02
2008-12-31,2.976,0.06
2009-12-31,2.92,-0.06
2010-12-31,2.846,-0.07
2011-12-31,2.859,0.01
2012-12-31,2.844,-0.02
2013-12-31,2.831,-0.01
2014-12-31,2.796,-0.04
2015-12-31,2.774,-0.02
2016-12-31,2.76,-0.01
2017-12-31,3.52,0.76
2018-12-31,4.245,0.73
2019-12-31,5.01,0.77
2020-12-31,5.616,0.61
2021-12-31,5.644,0.03
2022-12-31,5.502,-0.14
