Macrotrends Data Download

Kenya Youth Unemployment Rate 1991-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, % of Total Labor Force Ages 15-24, Annual Change, 
1991-12-31,6.727
1992-12-31,6.813,0.09
1993-12-31,6.829,0.02
1994-12-31,6.821,-0.01
1995-12-31,6.821,0
1996-12-31,6.852,0.03
1997-12-31,6.948,0.1
1998-12-31,6.896,-0.05
1999-12-31,6.929,0.03
2000-12-31,6.971,0.04
2001-12-31,6.906,-0.07
2002-12-31,6.985,0.08
2003-12-31,6.943,-0.04
2004-12-31,6.912,-0.03
2005-12-31,6.917,0
2006-12-31,6.934,0.02
2007-12-31,6.962,0.03
2008-12-31,7.149,0.19
2009-12-31,7.122,-0.03
2010-12-31,7.061,-0.06
2011-12-31,7.175,0.11
2012-12-31,7.236,0.06
2013-12-31,7.297,0.06
2014-12-31,7.307,0.01
2015-12-31,7.338,0.03
2016-12-31,7.374,0.04
2017-12-31,9.048,1.67
2018-12-31,10.689,1.64
2019-12-31,12.43,1.74
2020-12-31,13.83,1.4
2021-12-31,13.475,-0.36
2022-12-31,13.352,-0.12
